包名,可疑评论占比(T1=0.4),可疑评论占比(T1=0.6),可疑评论占比(T1=0.8),评论用户占可疑用户比例(T1=0.4),评论用户占可疑用户比例(T1=0.6),评论用户占可疑用户比例(T1=0.8)
com.hoperun.intelligenceportal,0.6150537634408603,0.6150537634408603,0.6043010752688172,0.00908529895776193,0.011161654452025946,0.011702223422450265
com.imo,0.9645669291338582,0.9173228346456693,0.8346456692913385,0.008399616017553483,0.00981383202763036,0.009541812944459447
com.hk515.patient,0.34108527131782945,0.25249169435215946,0.23809523809523808,0.010182391662095447,0.009350518069244376,0.00940678728958502
com.zhuanqian.weather,0.6130790190735694,0.5776566757493188,0.5722070844686649,0.007405375754251234,0.008550248504759498,0.009046718876586552
com.gipnetix.doorsrevenge,0.3997955010224949,0.33486707566462165,0.2684049079754601,0.009736697750959956,0.009561115323056188,0.008956701773336934
com.huahua.yueyu,0.35081967213114756,0.33278688524590166,0.3163934426229508,0.007336807460230389,0.008550248504759498,0.008686650463588082
com.baibai.baibai,0.6448598130841121,0.5950155763239875,0.5950155763239875,0.007096818431157433,0.008044815095611153,0.008596633360338465
org.mfactory.three.vegetable,0.44147940074906367,0.31413857677902624,0.28230337078651685,0.010662369720241361,0.008718726307808946,0.008506616257088847
com.seleuco.mame4all728,0.5561632309633993,0.37021455616323096,0.2936474547749264,0.021976138233680748,0.014573329963777273,0.00801152218921595
cn.xhlx.android.hna,0.9029126213592233,0.883495145631068,0.8543689320388349,0.006376851343938563,0.007665740038749895,0.007921505085966334
com.hll.phone_recycle,0.2867332382310984,0.24821683309557774,0.24821683309557774,0.006891113549094899,0.007328784432650998,0.007831487982716717
com.neusoft.ebpp,0.8625,0.825,0.7083333333333334,0.007096818431157433,0.008339651250947688,0.007651453776217482
com.doding.match,0.7946554149085795,0.7552742616033755,0.69901547116737,0.0066854086670323646,0.007286664981888636,0.007201368259969394
com.umuad,0.4134831460674157,0.35730337078651686,0.3550561797752809,0.006308283049917718,0.006696992671215567,0.007111351156719777
com.when.wannianli,0.5736434108527132,0.5736434108527132,0.5736434108527132,0.00503976961053209,0.006191559262067222,0.006616257088846881
com.ci123.baby,0.7019230769230769,0.7019230769230769,0.7019230769230769,0.004936917169500823,0.006065200909780136,0.006481231433972455
com.liuzhuni.lzn,0.5814814814814815,0.5518518518518518,0.5333333333333333,0.005382611080636313,0.006275798163591946,0.006481231433972455
com.yunxi.calendar,0.47863247863247865,0.47863247863247865,0.4700854700854701,0.004971201316511245,0.006107320360542499,0.006391214330722837
com.daikuan.daikuanbao,0.6010928961748634,0.4808743169398907,0.3770491803278688,0.0075425123422929235,0.007413023334175722,0.006211180124223602
com.thinkwage.zhengxin,0.6982456140350877,0.6771929824561403,0.6771929824561403,0.0047997805814591335,0.005644006402156516,0.006031145917724368
com.zhimore.mama,0.49836065573770494,0.4557377049180328,0.43934426229508194,0.005211190345584202,0.005854603655968326,0.006031145917724368
com.emipian.activity,0.6238532110091743,0.6055045871559633,0.5871559633027523,0.004422654964344487,0.005264931345295257,0.005446034746601855
com.lz,0.6292134831460674,0.6235955056179775,0.6235955056179775,0.0038398244651673065,0.004675259034622188,0.004995949230353767
com.jianzhi.calendar,0.9553571428571429,0.9553571428571429,0.9464285714285714,0.0036684037301151946,0.004506781231572741,0.004770906472229723
com.sostation.mbreader,0.6666666666666666,0.6666666666666666,0.603448275862069,0.0039769610532089964,0.004885856288433999,0.004725897920604915
com.maibaapp.elf,0.144,0.11413333333333334,0.11413333333333334,0.004491223258365332,0.00429618397776093,0.004590872265730489
cn.wangxiao.jszzhuntiku,0.3368421052631579,0.3333333333333333,0.3333333333333333,0.0032912781130005485,0.004001347822424396,0.004275812404356828
com.iflytek.womusicclient,0.4943820224719101,0.4943820224719101,0.4887640449438202,0.0030170049369171695,0.003706511667087861,0.003915743991358358
com.orangenose.cannonhero,0.1841100076394194,0.09778456837280367,0.09472880061115355,0.004422654964344487,0.002906242102602982,0.003015572958862184
